product_category_name,category_revenue,items_sold,average_price,revenue_share_%
beleza_saude,1258681.34,9670,130.16353050672183,9.260699940214003
relogios_presentes,1205005.68,5991,201.13598397596394,8.865783319496524
cama_mesa_banho,1036988.68,11115,93.29632748538012,7.629604651864147
esporte_lazer,988048.97,8641,114.34428538363615,7.269532602594637
informatica_acessorios,911954.32,7827,116.51390315574294,6.709669118239173
moveis_decoracao,729762.49,8334,87.56449364050876,5.369199679653169
cool_stuff,635290.85,3796,167.357968914647,4.674128192456959
utilidades_domesticas,632248.66,6964,90.78814761631247,4.6517453955918535
automotivo,592720.11,4235,139.9575230224321,4.360915596985522
ferramentas_jardim,485256.46,4347,111.63019553715206,3.5702558918609686
brinquedos,483946.6,4117,117.54836045664318,3.5606186468822756
bebes,411764.89,3065,134.34417292006526,3.029544469297706
perfumaria,399124.87,3419,116.73731207955542,2.936546004365904
telefonia,323667.52999999997,4545,71.21397799779977,2.38137150402199
moveis_escritorio,273960.7,1691,162.0110585452395,2.015655398618197
papelaria,230943.23,2517,91.75336909018674,1.6991560042145606
pcs,222963.13,203,1098.3405418719212,1.6404427229062812
pet_shop,214315.41,1947,110.0746841294299,1.5768174529177807
instrumentos_musicais,191498.88,680,281.616,1.4089457038959905
eletroportateis,190648.58,679,280.7784683357879,1.4026896540850318
unknown,179535.28,1603,111.99955084217093,1.3209239733086884
eletronicos,160246.74,2767,57.913530899891576,1.179009276118679
consoles_games,157465.22,1137,138.49183817062445,1.1585443488339828
fashion_bolsas_e_acessorios,152823.54,2031,75.24546528803546,1.1243933653146017
construcao_ferramentas_construcao,144677.59,929,155.7347578040904,1.0644598489585186
malas_acessorios,140429.98,1092,128.5988827838828,1.0332082204303226
eletrodomesticos_2,113317.74,238,476.1249579831933,0.833730948965356
casa_construcao,83088.12,604,137.56311258278146,0.6113176730787904
eletrodomesticos,80171.53,771,103.98382619974059,0.58985897342203
agro_industria_e_comercio,72530.47,212,342.12485849056606,0.5336401659793364
moveis_sala,68916.56,503,137.0110536779324,0.5070509610254131
telefonia_fixa,59583.0,264,225.6931818181818,0.43837964940178653
casa_conforto,58572.04,434,134.95861751152074,0.4309415497700253
climatizacao,55024.96,297,185.26922558922558,0.40484404399153
audio,50688.5,364,139.25412087912088,0.37293870497797116
portateis_casa_forno_e_cafe,47445.71,76,624.2856578947368,0.3490800012657778
livros_interesse_geral,46856.88,553,84.73215189873417,0.34474770700470914
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,281,164.8696441281139,0.34085921484242565
construcao_ferramentas_iluminacao,41080.0,304,135.1315789473684,0.30224453279333685
construcao_ferramentas_seguranca,40544.52,194,208.9923711340206,0.29830475912195964
industria_comercio_e_negocios,39669.61,268,148.0209328358209,0.2918676421748755
alimentos,29393.41,510,57.63413725490196,0.21626089271307197
market_place,28378.47,311,91.2490996784566,0.2087935103831482
construcao_ferramentas_jardim,25715.89,238,108.04995798319328,0.18920367961087742
artes,24202.64,209,115.8021052631579,0.1780700004665367
fashion_calcados,23562.77,262,89.93423664122137,0.17336218135264983
bebidas,22428.7,379,59.178627968337736,0.16501830459254907
sinalizacao_e_seguranca,21509.23,199,108.08658291457286,0.15825333914543394
moveis_quarto,20028.78,109,183.75027522935778,0.14736098474976947
livros_tecnicos,19096.06,267,71.52082397003745,0.14049853293314335
construcao_ferramentas_ferramentas,15903.95,103,154.40728155339806,0.1170127053875022
alimentos_bebidas,15179.48,278,54.602446043165465,0.11168244500111492
fashion_roupa_masculina,10797.82,132,81.80166666666666,0.0794445487119413
fashion_underwear_e_moda_praia,9541.55,131,72.83625954198473,0.0702015901137844
artigos_de_natal,8800.82,153,57.52169934640523,0.064751697397718
tablets_impressao_imagem,7528.41,83,90.70373493975903,0.055389989365303934
cine_foto,6933.46,72,96.29805555555555,0.05101266743771396
musica,6034.35,38,158.79868421052632,0.04439749991386253
dvds_blu_ray,5999.39,64,93.74046875,0.04414028304759049
livros_importados,4639.85,60,77.33083333333335,0.03413751936419582
artigos_de_festas,4485.18,43,104.30651162790699,0.03299954073987387
moveis_colchao_e_estofado,4368.08,38,114.94947368421053,0.03213798195725217
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15,264.5686666666667,0.02919830807513002
fashion_roupa_feminina,2803.64,48,58.409166666666664,0.02062767434081575
fashion_esporte,2119.51,30,70.65033333333334,0.015594213965452911
la_cuisine,2054.99,14,146.785,0.015119510526898229
artes_e_artesanato,1814.01,24,75.58375,0.013346509370312586
fraldas_higiene,1567.59,39,40.19461538461538,0.011533483621263559
pc_gamer,1545.95,9,171.77222222222224,0.011374268146832015
flores,1110.04,33,33.63757575757575,0.008167076951847997
casa_conforto_2,760.27,30,25.342333333333332,0.005593657520613199
cds_dvds_musicais,730.0,14,52.142857142857146,0.005370947150417135
fashion_roupa_infanto_juvenil,569.85,8,71.23125,0.004192649635157815
seguros_e_servicos,283.28999999999996,2,141.64499999999998,0.002084295367454343
